stage_id,decision_id,stage_sequence,stage_name,stage_timestamp,stage_status,metric_label,metric_value,payload_summary
STG-DEC-00061-07,DEC-00061,7,VERIFY,2026-07-04 10:45:41,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00061-08,DEC-00061,8,LOG,2026-07-04 10:45:48,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00062-01,DEC-00062,1,SIGNAL,2026-07-04 13:59:55,COMPLETED,Trigger Received,Demand surge at PS27,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00062-02,DEC-00062,2,PREDICT,2026-07-04 14:00:04,COMPLETED,Predicted Dwell Blowout,85m turnaround (+35m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00062-03,DEC-00062,3,DIAGNOSE,2026-07-04 14:00:10,COMPLETED,Causal Attribution,Flow Meter Temperature Sensor Drift,Bottleneck identified at PS27
STG-DEC-00062-04,DEC-00062,4,OPTIMIZE,2026-07-04 14:00:16,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -26m recovery
STG-DEC-00062-05,DEC-00062,5,DECIDE,2026-07-04 14:00:22,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00062-06,DEC-00062,6,EXECUTE,2026-07-04 14:00:24,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00062-07,DEC-00062,7,VERIFY,2026-07-04 14:45:22,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00062-08,DEC-00062,8,LOG,2026-07-04 14:45:29,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00063-01,DEC-00063,1,SIGNAL,2026-07-04 17:59:57,COMPLETED,Trigger Received,Demand surge at PS10,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00063-02,DEC-00063,2,PREDICT,2026-07-04 18:00:06,COMPLETED,Predicted Dwell Blowout,80m turnaround (+15m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00063-03,DEC-00063,3,DIAGNOSE,2026-07-04 18:00:12,COMPLETED,Causal Attribution,Morning Peak Arrival Surge,Bottleneck identified at PS10
STG-DEC-00063-04,DEC-00063,4,OPTIMIZE,2026-07-04 18:00:18,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -11m recovery
STG-DEC-00063-05,DEC-00063,5,DECIDE,2026-07-04 18:00:24,BLOCKED,L1_ADVISORY Policy Check,Status: BLOCKED_BY_POLICY,Autonomy rule evaluation completed
STG-DEC-00063-06,DEC-00063,6,EXECUTE,2026-07-04 18:00:26,SKIPPED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00063-07,DEC-00063,7,VERIFY,2026-07-04 18:45:24,SKIPPED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00063-08,DEC-00063,8,LOG,2026-07-04 18:45:31,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00064-01,DEC-00064,1,SIGNAL,2026-07-04 21:00:09,COMPLETED,Trigger Received,Demand surge at KOT-PS1,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00064-02,DEC-00064,2,PREDICT,2026-07-04 21:00:18,COMPLETED,Predicted Dwell Blowout,102m turnaround (+30m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00064-03,DEC-00064,3,DIAGNOSE,2026-07-04 21:00:24,COMPLETED,Causal Attribution,Clustered Transporter Arrivals,Bottleneck identified at KOT-PS1
STG-DEC-00064-04,DEC-00064,4,OPTIMIZE,2026-07-04 21:00:30,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -22m recovery
STG-DEC-00064-05,DEC-00064,5,DECIDE,2026-07-04 21:00:36,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00064-06,DEC-00064,6,EXECUTE,2026-07-04 21:00:38,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00064-07,DEC-00064,7,VERIFY,2026-07-04 21:45:36,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00064-08,DEC-00064,8,LOG,2026-07-04 21:45:43,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00065-01,DEC-00065,1,SIGNAL,2026-07-05 03:00:15,COMPLETED,Trigger Received,Demand surge at PS10,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00065-02,DEC-00065,2,PREDICT,2026-07-05 03:00:24,COMPLETED,Predicted Dwell Blowout,90m turnaround (+25m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00065-03,DEC-00065,3,DIAGNOSE,2026-07-05 03:00:30,COMPLETED,Causal Attribution,Gantry Queue Congestion + Slow Metering,Bottleneck identified at PS10
STG-DEC-00065-04,DEC-00065,4,OPTIMIZE,2026-07-05 03:00:36,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -18m recovery
STG-DEC-00065-05,DEC-00065,5,DECIDE,2026-07-05 03:00:42,COMPLETED,L1_ADVISORY Policy Check,Status: ADVISORY_POSTED,Autonomy rule evaluation completed
STG-DEC-00065-06,DEC-00065,6,EXECUTE,2026-07-05 03:00:44,SKIPPED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00065-07,DEC-00065,7,VERIFY,2026-07-05 03:45:42,SKIPPED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00065-08,DEC-00065,8,LOG,2026-07-05 03:45:49,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00066-01,DEC-00066,1,SIGNAL,2026-07-05 10:00:07,COMPLETED,Trigger Received,Demand surge at KOT-PS1,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00066-02,DEC-00066,2,PREDICT,2026-07-05 10:00:16,COMPLETED,Predicted Dwell Blowout,80m turnaround (+8m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00066-03,DEC-00066,3,DIAGNOSE,2026-07-05 10:00:22,COMPLETED,Causal Attribution,Gantry Queue Congestion + Slow Metering,Bottleneck identified at KOT-PS1
STG-DEC-00066-04,DEC-00066,4,OPTIMIZE,2026-07-05 10:00:28,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -6m recovery
STG-DEC-00066-05,DEC-00066,5,DECIDE,2026-07-05 10:00:34,COMPLETED,L1_ADVISORY Policy Check,Status: ADVISORY_POSTED,Autonomy rule evaluation completed
STG-DEC-00066-06,DEC-00066,6,EXECUTE,2026-07-05 10:00:36,SKIPPED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00066-07,DEC-00066,7,VERIFY,2026-07-05 10:45:34,SKIPPED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00066-08,DEC-00066,8,LOG,2026-07-05 10:45:41,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00067-01,DEC-00067,1,SIGNAL,2026-07-05 18:00:03,COMPLETED,Trigger Received,Demand surge at KOT-PS1,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00067-02,DEC-00067,2,PREDICT,2026-07-05 18:00:12,COMPLETED,Predicted Dwell Blowout,90m turnaround (+18m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00067-03,DEC-00067,3,DIAGNOSE,2026-07-05 18:00:18,COMPLETED,Causal Attribution,Flow Meter Temperature Sensor Drift,Bottleneck identified at KOT-PS1
STG-DEC-00067-04,DEC-00067,4,OPTIMIZE,2026-07-05 18:00:24,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -13m recovery
STG-DEC-00067-05,DEC-00067,5,DECIDE,2026-07-05 18:00:30,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00067-06,DEC-00067,6,EXECUTE,2026-07-05 18:00:32,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00067-07,DEC-00067,7,VERIFY,2026-07-05 18:45:30,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00067-08,DEC-00067,8,LOG,2026-07-05 18:45:37,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00068-01,DEC-00068,1,SIGNAL,2026-07-05 23:00:12,COMPLETED,Trigger Received,Demand surge at PS25,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00068-02,DEC-00068,2,PREDICT,2026-07-05 23:00:21,COMPLETED,Predicted Dwell Blowout,71m turnaround (+13m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00068-03,DEC-00068,3,DIAGNOSE,2026-07-05 23:00:27,COMPLETED,Causal Attribution,Morning Peak Arrival Surge,Bottleneck identified at PS25
STG-DEC-00068-04,DEC-00068,4,OPTIMIZE,2026-07-05 23:00:33,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -9m recovery
STG-DEC-00068-05,DEC-00068,5,DECIDE,2026-07-05 23:00:39,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00068-06,DEC-00068,6,EXECUTE,2026-07-05 23:00:41,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00068-07,DEC-00068,7,VERIFY,2026-07-05 23:45:39,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00068-08,DEC-00068,8,LOG,2026-07-05 23:45:46,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00069-01,DEC-00069,1,SIGNAL,2026-07-06 02:00:06,COMPLETED,Trigger Received,Demand surge at PS25,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00069-02,DEC-00069,2,PREDICT,2026-07-06 02:00:15,COMPLETED,Predicted Dwell Blowout,76m turnaround (+18m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00069-03,DEC-00069,3,DIAGNOSE,2026-07-06 02:00:21,COMPLETED,Causal Attribution,Gantry Queue Congestion + Slow Metering,Bottleneck identified at PS25
STG-DEC-00069-04,DEC-00069,4,OPTIMIZE,2026-07-06 02:00:27,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -13m recovery
STG-DEC-00069-05,DEC-00069,5,DECIDE,2026-07-06 02:00:33,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00069-06,DEC-00069,6,EXECUTE,2026-07-06 02:00:35,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00069-07,DEC-00069,7,VERIFY,2026-07-06 02:45:33,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00069-08,DEC-00069,8,LOG,2026-07-06 02:45:40,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00070-01,DEC-00070,1,SIGNAL,2026-07-06 11:00:13,COMPLETED,Trigger Received,Demand surge at PS25,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00070-02,DEC-00070,2,PREDICT,2026-07-06 11:00:22,COMPLETED,Predicted Dwell Blowout,70m turnaround (+12m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00070-03,DEC-00070,3,DIAGNOSE,2026-07-06 11:00:28,COMPLETED,Causal Attribution,Gantry Queue Congestion + Slow Metering,Bottleneck identified at PS25
STG-DEC-00070-04,DEC-00070,4,OPTIMIZE,2026-07-06 11:00:34,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -9m recovery
STG-DEC-00070-05,DEC-00070,5,DECIDE,2026-07-06 11:00:40,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00070-06,DEC-00070,6,EXECUTE,2026-07-06 11:00:42,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00070-07,DEC-00070,7,VERIFY,2026-07-06 11:45:40,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00070-08,DEC-00070,8,LOG,2026-07-06 11:45:47,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00071-01,DEC-00071,1,SIGNAL,2026-07-07 02:00:12,COMPLETED,Trigger Received,Demand surge at PS25,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00071-02,DEC-00071,2,PREDICT,2026-07-07 02:00:21,COMPLETED,Predicted Dwell Blowout,78m turnaround (+20m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00071-03,DEC-00071,3,DIAGNOSE,2026-07-07 02:00:27,COMPLETED,Causal Attribution,Morning Peak Arrival Surge,Bottleneck identified at PS25
STG-DEC-00071-04,DEC-00071,4,OPTIMIZE,2026-07-07 02:00:33,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -15m recovery
STG-DEC-00071-05,DEC-00071,5,DECIDE,2026-07-07 02:00:39,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00071-06,DEC-00071,6,EXECUTE,2026-07-07 02:00:41,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00071-07,DEC-00071,7,VERIFY,2026-07-07 02:45:39,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00071-08,DEC-00071,8,LOG,2026-07-07 02:45:46,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00072-01,DEC-00072,1,SIGNAL,2026-07-07 03:59:49,COMPLETED,Trigger Received,Demand surge at PS27,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00072-02,DEC-00072,2,PREDICT,2026-07-07 03:59:58,COMPLETED,Predicted Dwell Blowout,77m turnaround (+27m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00072-03,DEC-00072,3,DIAGNOSE,2026-07-07 04:00:04,COMPLETED,Causal Attribution,Gantry Queue Congestion + Slow Metering,Bottleneck identified at PS27
STG-DEC-00072-04,DEC-00072,4,OPTIMIZE,2026-07-07 04:00:10,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -20m recovery
STG-DEC-00072-05,DEC-00072,5,DECIDE,2026-07-07 04:00:16,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00072-06,DEC-00072,6,EXECUTE,2026-07-07 04:00:18,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00072-07,DEC-00072,7,VERIFY,2026-07-07 04:45:16,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00072-08,DEC-00072,8,LOG,2026-07-07 04:45:23,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00073-01,DEC-00073,1,SIGNAL,2026-07-07 07:59:53,COMPLETED,Trigger Received,Demand surge at KOT-PS1,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00073-02,DEC-00073,2,PREDICT,2026-07-07 08:00:02,COMPLETED,Predicted Dwell Blowout,83m turnaround (+11m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00073-03,DEC-00073,3,DIAGNOSE,2026-07-07 08:00:08,COMPLETED,Causal Attribution,Flow Meter Temperature Sensor Drift,Bottleneck identified at KOT-PS1
STG-DEC-00073-04,DEC-00073,4,OPTIMIZE,2026-07-07 08:00:14,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -8m recovery
STG-DEC-00073-05,DEC-00073,5,DECIDE,2026-07-07 08:00:20,COMPLETED,L1_ADVISORY Policy Check,Status: ADVISORY_POSTED,Autonomy rule evaluation completed
STG-DEC-00073-06,DEC-00073,6,EXECUTE,2026-07-07 08:00:22,SKIPPED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00073-07,DEC-00073,7,VERIFY,2026-07-07 08:45:20,SKIPPED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00073-08,DEC-00073,8,LOG,2026-07-07 08:45:27,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00074-01,DEC-00074,1,SIGNAL,2026-07-08 11:59:59,COMPLETED,Trigger Received,Demand surge at KOT-PS1,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00074-02,DEC-00074,2,PREDICT,2026-07-08 12:00:08,COMPLETED,Predicted Dwell Blowout,87m turnaround (+15m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00074-03,DEC-00074,3,DIAGNOSE,2026-07-08 12:00:14,COMPLETED,Causal Attribution,Gantry Queue Congestion + Slow Metering,Bottleneck identified at KOT-PS1
STG-DEC-00074-04,DEC-00074,4,OPTIMIZE,2026-07-08 12:00:20,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -11m recovery
STG-DEC-00074-05,DEC-00074,5,DECIDE,2026-07-08 12:00:26,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00074-06,DEC-00074,6,EXECUTE,2026-07-08 12:00:28,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00074-07,DEC-00074,7,VERIFY,2026-07-08 12:45:26,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00074-08,DEC-00074,8,LOG,2026-07-08 12:45:33,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00075-01,DEC-00075,1,SIGNAL,2026-07-09 01:00:14,COMPLETED,Trigger Received,Demand surge at KOT-PS1,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00075-02,DEC-00075,2,PREDICT,2026-07-09 01:00:23,COMPLETED,Predicted Dwell Blowout,88m turnaround (+16m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00075-03,DEC-00075,3,DIAGNOSE,2026-07-09 01:00:29,COMPLETED,Causal Attribution,Clustered Transporter Arrivals,Bottleneck identified at KOT-PS1
STG-DEC-00075-04,DEC-00075,4,OPTIMIZE,2026-07-09 01:00:35,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -12m recovery
STG-DEC-00075-05,DEC-00075,5,DECIDE,2026-07-09 01:00:41,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00075-06,DEC-00075,6,EXECUTE,2026-07-09 01:00:43,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00075-07,DEC-00075,7,VERIFY,2026-07-09 01:45:41,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00075-08,DEC-00075,8,LOG,2026-07-09 01:45:48,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00076-01,DEC-00076,1,SIGNAL,2026-07-09 11:00:04,COMPLETED,Trigger Received,Demand surge at PS10,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00076-02,DEC-00076,2,PREDICT,2026-07-09 11:00:13,COMPLETED,Predicted Dwell Blowout,83m turnaround (+18m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00076-03,DEC-00076,3,DIAGNOSE,2026-07-09 11:00:19,COMPLETED,Causal Attribution,Tank Recertification Hold,Bottleneck identified at PS10
STG-DEC-00076-04,DEC-00076,4,OPTIMIZE,2026-07-09 11:00:25,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -13m recovery
STG-DEC-00076-05,DEC-00076,5,DECIDE,2026-07-09 11:00:31,BLOCKED,L1_ADVISORY Policy Check,Status: BLOCKED_BY_POLICY,Autonomy rule evaluation completed
STG-DEC-00076-06,DEC-00076,6,EXECUTE,2026-07-09 11:00:33,SKIPPED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00076-07,DEC-00076,7,VERIFY,2026-07-09 11:45:31,SKIPPED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00076-08,DEC-00076,8,LOG,2026-07-09 11:45:38,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00077-01,DEC-00077,1,SIGNAL,2026-07-09 18:59:48,COMPLETED,Trigger Received,Demand surge at PS28,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00077-02,DEC-00077,2,PREDICT,2026-07-09 18:59:57,COMPLETED,Predicted Dwell Blowout,56m turnaround (+11m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00077-03,DEC-00077,3,DIAGNOSE,2026-07-09 19:00:03,COMPLETED,Causal Attribution,Gantry Queue Congestion + Slow Metering,Bottleneck identified at PS28
STG-DEC-00077-04,DEC-00077,4,OPTIMIZE,2026-07-09 19:00:09,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -8m recovery
STG-DEC-00077-05,DEC-00077,5,DECIDE,2026-07-09 19:00:15,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00077-06,DEC-00077,6,EXECUTE,2026-07-09 19:00:17,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00077-07,DEC-00077,7,VERIFY,2026-07-09 19:45:15,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00077-08,DEC-00077,8,LOG,2026-07-09 19:45:22,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00078-01,DEC-00078,1,SIGNAL,2026-07-10 01:00:01,COMPLETED,Trigger Received,Demand surge at PS28,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00078-02,DEC-00078,2,PREDICT,2026-07-10 01:00:10,COMPLETED,Predicted Dwell Blowout,61m turnaround (+16m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00078-03,DEC-00078,3,DIAGNOSE,2026-07-10 01:00:16,COMPLETED,Causal Attribution,Clustered Transporter Arrivals,Bottleneck identified at PS28
STG-DEC-00078-04,DEC-00078,4,OPTIMIZE,2026-07-10 01:00:22,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -12m recovery
STG-DEC-00078-05,DEC-00078,5,DECIDE,2026-07-10 01:00:28,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00078-06,DEC-00078,6,EXECUTE,2026-07-10 01:00:30,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00078-07,DEC-00078,7,VERIFY,2026-07-10 01:45:28,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00078-08,DEC-00078,8,LOG,2026-07-10 01:45:35,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00079-01,DEC-00079,1,SIGNAL,2026-07-10 04:00:15,COMPLETED,Trigger Received,Demand surge at PS28,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00079-02,DEC-00079,2,PREDICT,2026-07-10 04:00:24,COMPLETED,Predicted Dwell Blowout,63m turnaround (+18m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00079-03,DEC-00079,3,DIAGNOSE,2026-07-10 04:00:30,COMPLETED,Causal Attribution,Gantry Queue Congestion + Slow Metering,Bottleneck identified at PS28
STG-DEC-00079-04,DEC-00079,4,OPTIMIZE,2026-07-10 04:00:36,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -13m recovery
STG-DEC-00079-05,DEC-00079,5,DECIDE,2026-07-10 04:00:42,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00079-06,DEC-00079,6,EXECUTE,2026-07-10 04:00:44,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00079-07,DEC-00079,7,VERIFY,2026-07-10 04:45:42,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00079-08,DEC-00079,8,LOG,2026-07-10 04:45:49,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00080-01,DEC-00080,1,SIGNAL,2026-07-10 19:00:12,COMPLETED,Trigger Received,Demand surge at KOT-PS1,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00080-02,DEC-00080,2,PREDICT,2026-07-10 19:00:21,COMPLETED,Predicted Dwell Blowout,106m turnaround (+34m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00080-03,DEC-00080,3,DIAGNOSE,2026-07-10 19:00:27,COMPLETED,Causal Attribution,Loading Position Offline for Maintenance,Bottleneck identified at KOT-PS1
STG-DEC-00080-04,DEC-00080,4,OPTIMIZE,2026-07-10 19:00:33,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -25m recovery
STG-DEC-00080-05,DEC-00080,5,DECIDE,2026-07-10 19:00:39,BLOCKED,L1_ADVISORY Policy Check,Status: BLOCKED_BY_POLICY,Autonomy rule evaluation completed
STG-DEC-00080-06,DEC-00080,6,EXECUTE,2026-07-10 19:00:41,SKIPPED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00080-07,DEC-00080,7,VERIFY,2026-07-10 19:45:39,SKIPPED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00080-08,DEC-00080,8,LOG,2026-07-10 19:45:46,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00081-01,DEC-00081,1,SIGNAL,2026-07-10 21:00:03,COMPLETED,Trigger Received,Demand surge at PS10,Telemetry ingested from Smart Gate and SCADA DCS
